Year,Region,Drought,Extreme temperature,Flood,Storm,Wildfire
1975,Africa,0.0,0.0,0.0,0.038808109875735776,0.0
1975,Asia,0.0,0.0,0.010665656110742392,0.009770382573243577,0.0
1975,Europe,0.0,0.0,0.0009820467028338444,0.0,0.0
1975,North America,0.0,0.0,7.699831365935918e-05,0.009051250702641934,0.0
1975,Oceania,0.0,0.0,0.0,0.00027276555919513335,0.0
1975,South America,0.0,0.07864414211828198,0.033410658871149086,0.0,0.0
1976,Africa,0.0,0.0,0.0,0.0030643230869849573,0.0
1976,Asia,0.0,0.0,0.007141125438513321,0.016271866407509245,0.0
1976,Europe,0.0,0.0,0.0,0.027303649290696497,0.0
1976,North America,0.0,0.0,0.0006351854974704891,0.0015492355255761663,0.0
1976,Oceania,0.0,0.0,0.0,0.04076073935423491,0.0
1976,South America,0.0,0.0,0.0,0.0,0.0
1977,Africa,0.050775081752779595,0.0,0.011509025506867233,0.05923760627861347,0.0
1977,Asia,0.0,0.0,0.0005878022186403717,0.009850805916374324,0.0
1977,Europe,0.0,0.0,0.006853927283755097,0.0,0.0
1977,North America,0.043639744238336144,0.040730427206295675,0.002909317032040472,0.0,0.0
1977,Oceania,0.0,0.0,0.0,0.00026640149742629854,0.0005250818905007019
1977,South America,0.0,0.0,0.0012802563525972565,0.000791432426354846,0.0
1978,Africa,0.004009875735775016,0.0,0.014183976455199476,0.00456026814911707,0.0
1978,Asia,1.3676874940741442e-05,0.0,0.007054562908884043,0.0035230373565942924,0.0
1978,Europe,0.0,0.0,0.005752252586177848,1.620446810661455e-05,0.0
1978,North America,0.0,0.0,0.00032842046093310847,0.0014461298482293422,0.0
1978,Oceania,0.0,0.0,0.004660224613944782,0.22502204024333178,0.0
1978,South America,0.24870832021587588,0.0,0.00021625815156285137,0.0,0.0
1979,Africa,0.0,0.0,0.001978809679529104,0.024735055591890123,0.0
1979,Asia,0.00204905186308903,0.0,0.0011288518062008155,0.0009143927183085238,0.00011269792358016498
1979,Europe,0.0,0.0011651514640967752,0.0004675169323044782,0.0,0.0
1979,North America,0.0,0.0,0.0003887380550871276,0.03896665542439573,0.0
